,subject,session,runs,samples,trs
498,124,ses-01,5,1860000,248
499,124,ses-01,6,1859999,247
500,124,ses-02,1,3727499,496
501,124,ses-02,2,3720000,496
502,124,ses-02,3,3720001,496
503,124,ses-02,4,3727501,497
504,124,ses-02,5,1860000,248
505,124,ses-02,6,1860000,248
506,224,ses-01,1,3727500,497
507,224,ses-01,2,3720000,496
508,224,ses-01,3,3720000,496
509,224,ses-01,4,3727499,496
510,224,ses-01,5,1860000,248
511,224,ses-01,6,1860000,248
512,224,ses-02,1,3727500,497
513,224,ses-02,2,3720000,496
514,224,ses-02,3,3720000,496
515,224,ses-02,4,3727500,497
516,224,ses-02,5,1860000,248
517,224,ses-02,6,1860000,248
518,125,ses-01,1,3727500,497
519,125,ses-01,2,3720000,496
520,125,ses-01,3,3719999,495
521,125,ses-01,4,3727500,497
522,125,ses-01,5,1860000,248
523,125,ses-01,6,1860000,248
524,125,ses-02,1,3727500,497
525,125,ses-02,2,3720000,496
526,125,ses-02,3,3727500,497
527,125,ses-02,4,3727500,497
528,125,ses-02,5,1859999,247
529,125,ses-02,6,1860000,248
530,225,ses-01,1,3727499,496
531,225,ses-01,2,3720000,496
532,225,ses-01,3,3720000,496
533,225,ses-01,4,3727501,497
534,225,ses-01,5,1860000,248
535,225,ses-01,6,1860000,248
536,225,ses-02,1,3727500,497
537,225,ses-02,2,3720000,496
538,225,ses-02,3,3720000,496
539,225,ses-02,4,3727500,497
540,225,ses-02,5,1860000,248
541,225,ses-02,6,1860001,248
542,126,ses-01,1,405000,54
543,126,ses-01,2,3720000,496
544,126,ses-01,3,3720000,496
545,126,ses-01,4,3720000,496
546,126,ses-01,5,67500,9
547,126,ses-01,6,3727500,497
548,126,ses-01,7,3727500,497
549,126,ses-01,8,1860000,248
550,126,ses-01,9,1860000,248
551,126,ses-02,1,3720000,496
552,126,ses-02,2,3720000,496
553,126,ses-02,3,3720000,496
554,126,ses-02,4,3727500,497
555,126,ses-02,5,1860000,248
556,126,ses-02,6,1860000,248
557,226,ses-01,1,3727500,497
558,226,ses-01,2,3720000,496
559,226,ses-01,3,3720000,496
560,226,ses-01,4,3727501,497
561,226,ses-01,5,1860000,248
562,226,ses-01,6,1860000,248
563,226,ses-02,1,82500,11
564,226,ses-02,2,3720000,496
565,226,ses-02,3,3720000,496
566,226,ses-02,4,3720000,496
567,226,ses-02,5,3727500,497
568,226,ses-02,6,1860000,248
569,226,ses-02,7,1860000,248
570,127,ses-01,1,3727421,496
571,127,ses-01,2,3719919,495
572,127,ses-01,3,3719919,495
573,127,ses-01,4,3727418,496
574,127,ses-01,5,1859959,247
575,127,ses-01,6,1859959,247
576,127,ses-02,1,3727500,497
577,127,ses-02,2,3720000,496
578,127,ses-02,3,3720000,496
579,127,ses-02,4,3727500,497
580,127,ses-02,5,1860000,248
581,127,ses-02,6,1860000,248
582,227,ses-01,1,2475000,330
583,227,ses-01,2,3720000,496
584,227,ses-01,3,3720000,496
585,227,ses-01,4,3727500,497
586,227,ses-01,5,1860000,248
587,227,ses-01,6,1860000,248
588,227,ses-02,1,3727500,497
589,227,ses-02,2,3720000,496
590,227,ses-02,3,3720001,496
591,227,ses-02,4,3727500,497
592,227,ses-02,5,1860000,248
593,227,ses-02,6,1860000,248
594,128,ses-01,1,3727422,496
595,128,ses-01,2,3719920,495
596,128,ses-01,3,3719919,495
597,128,ses-01,4,3727419,496
598,128,ses-01,5,1859959,247
599,128,ses-01,6,1859960,247
600,128,ses-02,1,3727500,497
601,128,ses-02,2,3720000,496
602,128,ses-02,3,3720000,496
603,128,ses-02,4,3727500,497
604,128,ses-02,5,1860000,248
605,128,ses-02,6,1860000,248
606,228,ses-01,1,3727500,497
607,228,ses-01,2,3720000,496
608,228,ses-01,3,3720000,496
609,228,ses-01,4,3727500,497
610,228,ses-01,5,314999,41
611,228,ses-01,6,1245000,166
612,228,ses-01,7,1860000,248
613,228,ses-02,1,3727500,497
614,228,ses-02,2,3720000,496
615,228,ses-02,3,3720001,496
616,228,ses-02,4,3727500,497
617,228,ses-02,5,1860000,248
618,228,ses-02,6,1860001,248
619,129,ses-01,1,3727501,497
620,129,ses-01,2,3720001,496
621,129,ses-01,3,3720000,496
622,129,ses-01,4,3727500,497
623,129,ses-01,5,1860000,248
624,129,ses-01,6,1860000,248
625,129,ses-02,1,3727500,497
626,129,ses-02,2,3720001,496
627,129,ses-02,3,3720000,496
628,129,ses-02,4,3727500,497
629,129,ses-02,5,1860000,248
630,129,ses-02,6,1860001,248
631,229,ses-01,1,3727500,497
632,229,ses-01,2,3720000,496
633,229,ses-01,3,3720000,496
634,229,ses-01,4,3727499,496
635,229,ses-01,5,1860000,248
636,229,ses-01,6,1860000,248
637,229,ses-02,1,3727500,497
638,229,ses-02,2,3720000,496
639,229,ses-02,3,3719999,495
640,229,ses-02,4,3727500,497
641,229,ses-02,5,1859999,247
642,229,ses-02,6,1859999,247
643,130,ses-01,1,3727499,496
644,130,ses-01,2,3720000,496
645,130,ses-01,3,3720000,496
